Canadian citizens,Not Canadian citizens,Non-immigrants,Immigrants,Non-permanent residents,Under 5 years,5 to 14 years,15 to 24 years,25 to 44 years,45 years and over,Total visible minority population,Not a visible minority,"No certificate, diploma or degree",High school certificate or equivalent,"Postsecondary certificate, diploma or degree","No postsecondary certificate, diploma or degree",Education,"Visual and performing arts, and communications technologies",Humanities,Social and behavioural sciences and law,"Business, management and public administration",Physical and life sciences and technologies,"Mathematics, computer and information sciences","Architecture, engineering, and related technologies","Agriculture, natural resources and conservation","Health, parks, recreation and fitness","Personal, protective and transportation services",Other,"With postsecondary certificate, diploma or degree",English,French,Non-official language,English and French,English and non-official language,French and non-official language,"English, French and non-official language",In the labour force,Not in the labour force,Participation rate,Employment rate,Unemployment rate,Worked at home,Worked outside Canada,No fixed workplace address,Worked at usual place,Walked or bicycled,Riding Vote
0.984378874,0.013637491,0.92858914,0.069427225,0,0.040912472,0.096702207,0.107860154,0.197123729,0.557897347,0.003719316,0.994297049,0.269030498,0.228118026,0.363253161,0.498388297,0.040912472,0.007438631,0.018596578,0.023555666,0.068187454,0.007438631,0.007438631,0.107860154,0.027274981,0.038432928,0.017356806,0,0.363253161,0.998016365,0,0,0,0,0,0,0.442598562,0.419042896,0.01272006,0.011827424,0.001735681,0.061988594,0,0.052070419,0.298785024,0.004959088,0
0.958973957,0.019022592,0.883079699,0.092759649,0.002157201,0.036672419,0.107663947,0.11197835,0.19944305,0.54479134,0.012943207,0.965053342,0.194344211,0.230232193,0.411437088,0.424576404,0.038633511,0.012550988,0.025886414,0.034907436,0.08275808,0.009021023,0.009021023,0.091190775,0.016080954,0.069618764,0.021375902,0,0.411437088,0.957993411,0.004706621,0.011178224,0.002745529,0.001176655,0,0.000588328,0.493018513,0.34299498,0.002314088,0.00217289,0.000235331,0.059813304,0.000392218,0.048242862,0.354761531,0.027651396,0
0.978243978,0.017871018,0.894327894,0.099456099,0.001554002,0.04972805,0.125874126,0.12043512,0.233877234,0.47008547,0.009324009,0.986013986,0.191919192,0.245532246,0.386169386,0.437451437,0.041181041,0.006993007,0.011655012,0.027972028,0.073038073,0.008547009,0.003885004,0.116550117,0.014763015,0.056721057,0.024087024,0,0.386169386,0.981351981,0,0.013986014,0.001554002,0,0,0,0.551670552,0.272727273,0.01039627,0.00989899,0.000745921,0.075369075,0,0.073815074,0.375291375,0.013986014,0
0.961173863,0.024299714,0.881331945,0.097999947,0.006141686,0.044660739,0.10868114,0.155077572,0.238390878,0.453016102,0.035047665,0.950425913,0.196800983,0.239258725,0.396405779,0.436126465,0.033512243,0.013151219,0.027704345,0.040855564,0.074901867,0.013885551,0.011081738,0.078106224,0.005674384,0.071630751,0.025835136,0,0.396405779,0.954831905,0.00340463,0.023832412,0.002670298,0.002670298,0,0,0.512029694,0.320569308,0.000821117,0.000754359,0.000108147,0.025901893,0.002336511,0.040455019,0.402080162,0.060348741,0
0.960717336,0.036293766,0.866780529,0.130230572,0,0.034158839,0.093936806,0.085397096,0.185738685,0.608454313,0.004269855,0.990606319,0.213492741,0.204953032,0.426985482,0.418445773,0.040563621,0.019214347,0.025619129,0.042698548,0.061912895,0.004269855,0.010674637,0.11528608,0.010674637,0.064047822,0.029888984,0,0.426985482,0.98206661,0,0.012809564,0,0,0,0,0.454739539,0.392826644,0.02292912,0.021306576,0.002988898,0.089666951,0,0.074722459,0.256191289,0.014944492,0
0.972425263,0.011467121,0.902080176,0.080605142,0.001274125,0.041375518,0.118024168,0.120170062,0.218210593,0.502139188,0.016027146,0.967932297,0.222032966,0.240407183,0.361784311,0.46244015,0.030914285,0.011265943,0.012137713,0.03212135,0.059749735,0.007108274,0.0098577,0.097168761,0.012271831,0.06102386,0.028231917,0,0.361784311,0.967999356,0.001408243,0.012607127,0.001542361,0.001207065,0,0,0.506632154,0.317659366,0.000824828,0.000772522,8.32E-05,0.052976757,0.001542361,0.0576709,0.362924317,0.025616609,0
0.955443229,0.038000072,0.785499712,0.20349151,0.004407109,0.068220248,0.155687869,0.13778961,0.305394661,0.333051518,0.168459491,0.82493884,0.135451144,0.211361347,0.422947546,0.346857462,0.029275795,0.015559793,0.018302993,0.05131134,0.099654627,0.013401209,0.021945604,0.089716146,0.00544143,0.055448626,0.022845014,0,0.422947546,0.92310944,0.009533746,0.049872284,0.001618938,0.009084041,0,0.000179882,0.565549,0.204211038,0.000661066,0.000624191,5.04E-05,0.034267521,0.00179882,0.047488847,0.450514463,0.014480501,0
0.960519811,0.029980931,0.833392189,0.154848506,0.002224733,0.052687337,0.127268875,0.136379688,0.281128611,0.402606116,0.080302281,0.910163147,0.215587259,0.2442616,0.350836924,0.459884173,0.023200791,0.014195918,0.015043435,0.035631047,0.072921817,0.007521718,0.014866869,0.083480472,0.004767286,0.052369518,0.026767427,0,0.350836924,0.928561339,0.008898934,0.043505897,0.001871601,0.008369235,0,7.06E-05,0.539232997,0.271452786,0.000469666,0.000433646,5.37E-05,0.023342044,0.001130023,0.051451374,0.422169645,0.024012995,0
0.963352534,0.018365473,0.893229819,0.088488188,0,0.050922448,0.131062693,0.128975707,0.234994574,0.45371066,0.01586109,0.965856916,0.232072794,0.238333751,0.329326321,0.470823942,0.01878287,0.01878287,0.014191502,0.037983137,0.045078888,0.005008765,0.008347942,0.079722848,0.01586109,0.053009433,0.032974372,0,0.329326321,0.968361299,0.000834794,0.011687119,0.001669588,0,0,0,0.533433509,0.266299357,0.005568077,0.005325987,0.000367309,0.063444361,0.001252191,0.072627097,0.372318224,0.03172218,0
0.960648554,0.035582822,0.785801928,0.206923751,0.003593339,0.064241893,0.155039439,0.129886065,0.291235758,0.359509202,0.071691499,0.924539877,0.150657318,0.222524102,0.404206836,0.37318142,0.026292726,0.018404908,0.021121823,0.048290973,0.092287467,0.011744084,0.014285714,0.099824715,0.009553024,0.03768624,0.024802805,0,0.404206836,0.91665206,0.002453988,0.059158633,0.000788782,0.017528484,0,0.000262927,0.58080631,0.196494303,0.001309378,0.001256792,7.19E-05,0.053023663,0.002716915,0.062927257,0.438299737,0.01305872,0
0.968175362,0.018810703,0.883335253,0.101923298,0.001727514,0.05873546,0.138201083,0.129755461,0.252792814,0.420553572,0.009405351,0.977580713,0.189450651,0.228415678,0.371991247,0.417866329,0.02936773,0.012860379,0.016699297,0.035701946,0.066605244,0.010940919,0.012668433,0.09616492,0.013628162,0.057007947,0.019962379,0,0.371991247,0.95972974,0.000767784,0.020730162,0.001151676,0.004414757,0,0,0.554915736,0.23494184,0.00269876,0.002610465,0.000126684,0.057007947,0.001151676,0.056048217,0.422664978,0.034550271,0
0.941387025,0.036689038,0.883668904,0.091722595,0.002684564,0.059060403,0.135123043,0.134228188,0.23803132,0.432214765,0.025950783,0.951677852,0.277404922,0.233557047,0.272483221,0.510514541,0.014765101,0.0098434,0.008053691,0.021923937,0.046085011,0.0049217,0.005369128,0.077852349,0.015212528,0.044742729,0.024161074,0,0.272483221,0.902013423,0,0.07114094,0.000894855,0.004026846,0,0,0.534675615,0.248322148,0.006111857,0.005888143,0.000331096,0.071588367,0.000894855,0.050559284,0.391498881,0.055928412,0
0.938296384,0.049965028,0.763160296,0.220661132,0.004439984,0.056594593,0.124593255,0.118997658,0.281148314,0.41866618,0.095429249,0.892801752,0.127299821,0.218015388,0.461758355,0.345315208,0.033208649,0.018824317,0.02788675,0.056716236,0.117112186,0.017668704,0.017729526,0.085910653,0.005960527,0.057537329,0.023203479,6.08E-05,0.461758355,0.910227169,0.006599155,0.061095399,0.001672597,0.009062433,0.000152054,0.000212876,0.563148131,0.243955843,0.000424535,0.000404464,2.80E-05,0.041358757,0.002341635,0.040933005,0.452300581,0.022078278,0
