4 or more bedrooms,Average income ($),Average household total income ($),Prevalence of low income in 2010 based on after-tax low-income measure (%),
0.09344192,0.460510685,0.86805462,0.000169004,1
0.104845164,0.489269224,0.900905005,0.000164994,1
0.096354004,0.481096915,0.902013088,0.000185728,2
0.01046421,0.471690972,0.704519648,0.00034621,1
0.05414246,0.448264414,0.832397598,0.000167944,1
0.070637486,0.75901648,1.317630226,0.000201367,1
0.172939882,0.427461859,1.093127361,8.32E-05,1
0.10696689,0.48454868,0.990461175,0.000104454,1
0.127894737,0.441061404,0.955307018,5.35E-05,1
0.138629089,0.414956146,0.906430561,7.23E-05,0
0.068695972,0.386656244,0.762276991,0.00021979,1
0.078574552,0.323935286,0.607354613,0.000153913,1
0.08397403,0.285819238,0.526858022,0.000225525,2
0.061525304,0.3598853,0.734138243,0.000196197,2
0.115407336,0.442500403,0.964395038,9.67E-05,1
0.039674244,0.272075603,0.536451529,0.000191621,0
0.057447204,0.242748163,0.530914504,0.000225137,1
