Other North American origins,Caribbean origins,Buddhist,No religious affiliation,Non-Aboriginal languages,4 or more bedrooms,Average income ($),Average household total income ($),Prevalence of low income in 2010 based on after-tax low-income measure (%),
0.068249841,0.036210196,0.029193857,0.319071684,0.713409548,0.095922673,0.377900986,0.810480349,0.000192336,1
0.162783646,0.017334614,0.011977561,0.249608329,0.427048062,0.09748825,0.884873907,1.701410017,0.000161722,1
0.293859459,0.021859111,0.001912129,0.241753944,0.180261614,0.130937378,0.412767807,0.921368041,7.30E-05,1
0.344379836,0.022690508,0.001224151,0.284571329,0.089013247,0.120185371,0.394604993,0.841315088,6.91E-05,0
0.154871841,0.040812649,0.011441957,0.185053381,0.454119555,0.082841569,0.600909951,1.157700797,0.000129736,0
0.357099949,0.003881521,0.002402846,0.284968347,0.14440183,0.102490643,0.350445913,0.700512915,0.000131232,1
0.345372174,0.003048522,0.001905326,0.1743162,0.133838598,0.107672114,0.368972817,0.75978491,7.45E-05,0
0.138955079,0.032344895,0.008031065,0.148971847,0.506089489,0.092048363,0.43478069,0.909125408,0.000111199,2
0.168357974,0.032543085,0.011503805,0.220190709,0.442962121,0.053451142,0.458402589,0.824039892,0.000120724,1
0.077655267,0.109656301,0.016065122,0.085494013,0.627444224,0.062365406,0.252554053,0.579817383,0.000177449,1
0.28689798,0.013050233,0.003625065,0.219005697,0.196271362,0.110305541,0.482889694,1.061574314,6.84E-05,1
0.608331327,0.007657115,0.000866843,0.097616181,0.058463761,0.095641705,0.402475319,0.804642427,0.000101132,0
0.265989216,0.011281626,0.018788884,0.302820406,0.215014517,0.08610535,0.350095396,0.688900871,0.000100373,1
0.323246673,0.007576834,0.001278591,0.256002273,0.104939149,0.103802623,0.348903727,0.700336222,0.00010797,1
0.36962272,0.006032763,0.001670611,0.307902919,0.054944545,0.110121119,0.345547357,0.68386468,0.000115087,0
0.264152871,0.028459023,0.016094421,0.337063151,0.273962804,0.050889025,0.31710607,0.52012058,0.000298385,0
0.227774142,0.019397962,0.012760587,0.222959708,0.3424792,0.066654202,0.32642797,0.644909788,0.000157988,2
0.252914492,0.022242817,0.007121604,0.229061997,0.285059265,0.085751915,0.34028584,0.697790352,0.000143408,1
0.219253865,0.020284647,0.005863161,0.238687408,0.269374439,0.119296421,0.450479928,0.938380065,0.00010497,2
0.403362743,0.002330614,0.001997669,0.265967482,0.03667943,0.108318073,0.380012208,0.752044837,0.000154264,1
0.336559977,0.002529429,0.000535072,0.199533029,0.079385154,0.125693161,0.400214029,0.780941726,0.00010896,1
0.276447606,0.014626327,0.01843318,0.241685033,0.254007213,0.130735324,0.533530355,1.150821479,5.41E-05,1
0.228032294,0.001314307,0.000751033,0.335523845,0.042433346,0.091250469,0.712166729,1.374633872,0.000197146,0
0.108627523,0.027514057,0.024564476,0.113328417,0.559175961,0.15125818,0.465655821,1.141967002,8.66E-05,1
0.335362894,0.008515332,0.003397309,0.300639753,0.124994485,0.097551291,0.36010589,0.661230973,0.000133245,1
0.229864523,0.01434172,0.012902585,0.264751129,0.275668701,0.069177708,0.367416009,0.666071163,0.000165749,1
