Other North American origins,Caribbean origins,Buddhist,No religious affiliation,Non-Aboriginal languages,English,Between 5 and 6:59 a.m.,4 or more bedrooms,Spending less than 30% of household total income on shelter costs,Average income ($),After-tax income as a % of total income,Household total income in 2010 of private households,"$10,000 to $14,999",Average household total income ($),Prevalence of low income in 2010 based on after-tax low-income measure (%),
0.403362743,0.002330614,0.001997669,0.265967482,0.03667943,0.541534876,0.130014983,0.108318073,0.294711725,0.380012208,0.00096665,0.404028633,0.010543255,0.752044837,0.000154264,1
0.336559977,0.002529429,0.000535072,0.199533029,0.079385154,0.573499368,0.13722152,0.125693161,0.308833544,0.400214029,0.000818173,0.412637416,0.011577002,0.780941726,0.00010896,1
0.276447606,0.014626327,0.01843318,0.241685033,0.254007213,0.584952915,0.118312963,0.130735324,0.289471048,0.533530355,0.000815468,0.350631136,0.004458024,1.150821479,5.41E-05,1
0.228032294,0.001314307,0.000751033,0.335523845,0.042433346,0.545812993,0.094630116,0.091250469,0.280510702,0.712166729,0.001618475,0.397108524,0.014175742,1.374633872,0.000197146,0
0.108627523,0.027514057,0.024564476,0.113328417,0.559175961,0.574430823,0.104018804,0.15125818,0.202829754,0.465655821,0.000746613,0.294681537,0.005438289,1.141967002,8.66E-05,1
0.335362894,0.008515332,0.003397309,0.300639753,0.124994485,0.576395323,0.090183102,0.097551291,0.316611516,0.36010589,0.000744761,0.444870946,0.0187955,0.661230973,0.000133245,1
0.229864523,0.01434172,0.012902585,0.264751129,0.275668701,0.581360727,0.116669148,0.069177708,0.319289365,0.367416009,0.000853556,0.446975336,0.019602005,0.666071163,0.000165749,1
0.285574943,0.008453452,0.01392652,0.195838301,0.272786388,0.590874607,0.12490517,0.109082042,0.270185326,0.486452802,0.000906037,0.335266067,0.002546873,1.087460713,8.02E-05,1
0.274484403,0.017255674,0.00803192,0.246657685,0.258316924,0.600787646,0.139392683,0.080371023,0.283811794,0.441755622,0.000870557,0.37029744,0.007980102,0.905865893,0.000117111,1
0.35108129,0.002413593,0.000965437,0.273122224,0.095047306,0.545085924,0.125410311,0.109915042,0.285335007,0.360417069,0.000825449,0.392208921,0.01033018,0.717754393,0.000126472,0
0.393362464,0.004941739,0.001560549,0.241260924,0.041302538,0.573761964,0.147523928,0.099927174,0.314294632,0.417166042,0.000883271,0.407927591,0.009935497,0.826862256,0.000118602,1
0.403647167,0.002202643,0.001946522,0.226360004,0.046614076,0.557371171,0.144247516,0.09932384,0.320049175,0.392572482,0.000876959,0.420807294,0.015111157,0.758313697,0.000129085,0
0.294344746,0.017479106,0.009460778,0.298884222,0.236349752,0.543591702,0.113571762,0.074837724,0.29167197,0.278825676,0.000743286,0.396504179,0.013915405,0.542938356,0.000150185,0
0.245480495,0.011417697,0.010249978,0.330118502,0.247037454,0.57771819,0.079058905,0.090909091,0.317100597,0.348750108,0.000725716,0.467260618,0.023657123,0.613701237,0.000169536,0
0.267839729,0.014627941,0.003137587,0.276022896,0.213016748,0.565274539,0.08259487,0.106465974,0.312189951,0.368251007,0.000710621,0.419376722,0.012889548,0.692948908,0.000116176,2
0.161897729,0.043612701,0.01790659,0.22613993,0.429527414,0.563042274,0.096963264,0.156128854,0.242292782,0.444886469,0.000756876,0.327625992,0.00503046,1.027958279,7.75E-05,1
0.060995263,0.040728622,0.055086194,0.256629389,0.736436001,0.481955365,0.075450505,0.153342775,0.188650681,0.349416418,0.000828246,0.273233384,0.005371881,0.993084925,0.000148459,1
0.071932773,0.02304922,0.05214886,0.397791116,0.728595438,0.48244898,0.058823529,0.167683073,0.2072509,0.448316927,0.000779832,0.298631453,0.005378151,1.141118848,0.000135414,1
0.272090486,0.035712235,0.006373084,0.197393351,0.321123041,0.592983866,0.131365907,0.136073951,0.253200896,0.578262617,0.000938164,0.330481713,0.004019062,1.25889648,7.81E-05,1
0.07340187,0.046325676,0.029106909,0.152345898,0.678935567,0.555738884,0.098912722,0.087193806,0.222870923,0.308854762,0.000724288,0.348013707,0.007192114,0.690612176,0.000132843,0
0.087439594,0.051712032,0.027095122,0.12742142,0.651439428,0.542480691,0.108091363,0.080335385,0.236834497,0.286373962,0.000712073,0.355747388,0.008012887,0.625104291,0.000137128,0
0.108731113,0.053313874,0.020518544,0.154919299,0.56589114,0.567178915,0.094436813,0.136289492,0.220037775,0.378751717,0.000709993,0.30571772,0.005022321,0.922330014,0.000100446,1
0.193173102,0.031108838,0.009247422,0.204636495,0.392141822,0.574959516,0.100741498,0.112971959,0.271967954,0.458987471,0.000674167,0.379613057,0.009076962,0.95932839,0.000114208,1
0.079701174,0.090160085,0.030565635,0.099551761,0.658484525,0.534386339,0.104332978,0.111419424,0.188900747,0.289366062,0.000737673,0.284311633,0.00601921,0.74141302,0.000128922,1
0.163018263,0.056223375,0.01556371,0.156101059,0.465477245,0.594289089,0.109030326,0.124847104,0.230418828,0.376160952,0.000700156,0.311527268,0.004344342,0.902332448,7.34E-05,1
0.256726078,0.023523161,0.018209921,0.217166594,0.317248708,0.583925035,0.113027098,0.122735835,0.286142105,0.48691494,0.00079602,0.348403613,0.003864174,1.052668695,6.18E-05,1
0.257621178,0.021768206,0.026195637,0.255638057,0.260711156,0.616473735,0.133238021,0.14730434,0.262970991,0.444237421,0.000754508,0.343402666,0.006410552,0.989660102,7.47E-05,1
